track,aggregation,classifier,macro_f1,ci_low,ci_high
3class,per_day,dummy,0.32680571454627044,0.2951723446829436,0.3563833599260988
3class,per_day,logreg,0.5807204175051087,0.548046399860858,0.6115522391069407
3class,per_day,xgb,0.5663756099574092,0.5326308138611647,0.598236080218219
3class,per_participant,dummy,0.38736881559220393,0.2743093181189473,0.489961088103503
3class,per_participant,logreg,0.595390566068018,0.480461578774855,0.7048101738793763
3class,per_participant,xgb,0.49906629318394025,0.38595059626480466,0.6024649794649795
2class,per_day,dummy,0.5057874595231087,0.47131208039490513,0.5385387977284519
2class,per_day,logreg,0.7537457486901369,0.7235200526891487,0.7819860242537491
2class,per_day,xgb,0.7030970207864287,0.6742120241715238,0.7335906121246056
2class,per_participant,dummy,0.6041666666666667,0.4867532467532467,0.7103257103257103
2class,per_participant,logreg,0.7984084880636605,0.700358422939068,0.8813982466293893
2class,per_participant,xgb,0.7548387096774194,0.6458781362007169,0.8406819626147743
